author,sum_art
Kathryn de Graaf,3
Barry Leiba,3
Jitendra Padhye,3
David M. Balenson,3
F. Frank Chen,5
Abby Ghobadian,3
Yoram Koren,11
Tor Guimaraes,19
Hsi-Mei Hsu,3
Jay Lee,5
Amrik S. Sohal,4
A. Gunasekaran,4
Hans-Jürgen Warnecke,7
Victor Portougal,4
Denis R. Towill,3
Hamid R. Parsaei,4
Herman R. Leep,3
Hau L. Lee,9
Seungjin Whang,5
Nguyen Huong Lam,9
Do Long Van,10
Giovanna Guaiana,4
Andrzej Szepietowski,10
Laurent Vuillon,3
Jean Néraud,7
Olivier Coudert,4
Jean-Jacques Hébrard,6
Srecko Brlek,3
Valérie Berthé,3
Edward Ochmanski,4
Sorina Dumitrescu,3
Francesco Del Ristoro,3
David Simplot,6
Alain Terlutte,6
Antoine Petit 0001,8
Danièle Gardy,8
Dominique Gouyou-Beauchamps,3
Jean Marcel Pallo,8
N. W. Keesmaat,4
Marina Madonia,3
Julian C. Bradfield,3
Sauro Tulipani,6
Jean-Marc Fedou,9
Peter Ruzicka,6
Denis Derencourt,4
Michel Latteux,10
Dana Pardubská,3
Pratul Dublish,3
Didier Caucal,4
Helen Cameron,7
Maurice Boffa,3
Francis Bossut,3
Paul Kruszewski,6
Franz-Josef Brandenburg,4
Anca Muscholl,8
José Oncina,6
Adam Malinowski,5
Guy-Vincent Jourdan,3
Phan Trung Huy,4
E. Lippe,4
Mireille Clerbout,4
Yves Roos,3
Robert T. Smythe,7
Lu Tian,7
Anne Bergeron,4
Jean François Béraud,3
Jean-Luc Lambert,3
Xavier Messeguer,4
Riccardo Pucella,3
Loÿs Thimonier,4
Mireille Régnier,7
Jorge Castro,3
Masanao Ozawa,3
François Pellegrini,5
Jean Roman,7
Satoshi Kumagai,3
François B. Vernadat,4
Larry J. Leifer,5
Renate Fruchter,6
Mitchell M. Tseng,5
Chimay J. Anumba,6
Graham D. Parrington,4
Daniel E. Geer Jr.,4
Brian Noble,5
Roland Balter,3
Dominique Decouchant,3
Michel Riveill,3
Jiansan Chen,3
Richard A. Golding,3
Roger Riggs,3
Ann Wollrath,4
George T. Heineman,5
Peter Madany,3
Rob Pike,5
David L. Presotto,3
Chris D. Marlin,4
Pedro Manuel Antunes Sousa,3
Andre Zuquete,3
Paulo Guedes,3
José Alves Marques,3
Yongguang Zhang,5
John K. Ousterhout,9
Partha Dasgupta,4
Sathis Menon,3
Ajay Mohindra,3
Michel Beaudouin-Lafon,3
M. Stella Atkins,5
John Rosenberg,8
Bruce R. Montague,4
Marshall K. McKusick,3
Stuart I. Feldman,7
W. Morven Gentleman,3
Timothy Paul Cronan,7
Steve G. Sutton,6
Rens Scheepers,3
David Gefen,4
Stefan Turek,3
Ronald H. W. Hoppe,3
Luigi Brugnano,6
Folkmar A. Bornemann,5
George J. Fix,3
Philip K. Maini,3
James D. Murray 0001,3
C. W. Oosterlee,4
Christof Schütte,5
Karin Gatermann,3
Thomas Sonar,4
Ch. Lubich,3
M. V. Nagendra Prasad,5
Andrea Omicini,4
Stephen Grand,9
Dave Cliff,11
Piotr J. Gmytrasiewicz,7
Makoto Yokoo,4
Allen C. Ward,12
Pascale Carayon,6
Atsuo Murata,5
Klaus-Peter Fähnrich,3
Richard J. Koubek,5
Peter Hyland,4
Chris Stary,4
Jan Gulliksen,3
Jennie J. Gallimore,3
Jean Scholtz,11
Arne Aarås,5
Barrett S. Caldwell,7
Larry E. Wood,3
R. Darin Ellis,5
Lawrence M. Schleifer,3
Christopher S. Pan,3
Kim Kirsner,3
Baijun Zhao,3
Russel L. Winder,7
Michael J. DeHaemer,4
George Wright,4
Thomas W. Dillon,5
Murray Turoff,9
Mary LaLomia,4
Joseph B. Sidowski,3
Liwana S. Bringelson,3
Mark R. Lehto,3
Bryan Carpenter,6
Neil Charness,3
Hirohiko Mori,4
Yoshio Hayashi,5
Susan H. Gray,3
François Sainfort,4
Andrew S. Patrick,5
Cynthia L. Corritore,4
Sara J. Czaja,5
Joseph Sharit,5
Dominique L. Scapin,7
Chin-Jung Chao,3
Holger Luczak,7
J. M. Christian Bastien,4
Takeshi Koshiba,4
Deborah A. Boehm-Davis,4
Gunnela Westlander,3
John B. Smelcer,3
Donna L. Cuomo,3
Christophe Kolski,3
Marc Hassenzahl,4
Sidney A. Davis,6
Robert P. Bostrom,15
James R. Lewis,3
Colin Ware,13
Antonija Mitrovic,4
Slobodanka Djordjevic-Kajan,3
David Shinar,7
Ray E. Eberts,4
Yee-Yin Choong,3
Michael J. Smith 0001,3
Xiaowen Fang,4
Charalampos Karagiannidis,3
Adamantios Koumpis,6
Andreas C. Georgiou,4
Ola Ro,3
Marvin J. Dainoff,3
Leonard S. Mark,3
Andy Cockburn,6
John L. Sibert,3
Sabine Sonnentag,4
Ying K. Leung,6
Mark D. Apperley,8
Wei Xu,9
Sissel Guttormsen Schär,3
Helmut Krueger,3
Patrick Millot,3
Norbert A. Streitz,6
Nigel Bevan,5
Daniel Dardailler,3
Aaron Marcus,6
Manfred Tscheligi,3
Gordon Rugg,7
Kevin B. Bennett,4
Jane M. Mackay,3
E. P. Wentworth,3
F. George Wilkie,5
Curtis R. Cook,7
Monika Müllerburg,8
Walt Scacchi,16
H. Dieter Rombach,14
Maurizio Morisio,4
M. M. Lehman,5
Juan F. Ramil,4
Klaas Sikkel,7
Pearl Brereton,8
D. Wilson,3
Michael R. Lyu,5
Peter J. L. Wallis,4
Bryan Ratcliff,3
Peter Henderson 0001,4
Bryan F. Jones,5
David E. Eyres,4
Jawed I. A. Siddiqi,13
Fred Long,3
Peter G. O'Donoghue,7
Ignacio Silva-Lepe,4
Dick B. Simmons,4
C.-M. Huang,3
Raffaela Mirandola,3
David N. Wilson,5
Osman Abou-Rabia,4
C. W. Johnson,5
Andrzej Bargiela,5
R. Harrison,5
L. G. Samaraweera,3
Sabine Moisan,4
Mario Wolczko,4
Gavin R. Finnie,6
Helen M. Edwards,4
Rudolph E. Seviora,3
Stephen G. Linkman,8
C. A. Middelburg,4
John A. Clark,3
Martyn A. Ould,3
Adrian Robson,3
Jane Hillston,6
Alexander Egyed,4
R. Mark Greenwood,3
Brian Warboys,4
Paul Butcher,3
Mark B. Ratcliffe 0001,6
Robert John Gautier,3
Brian A. Wichmann,8
Susan Stepney,3
David A. Gustafson,7
Ben R. Whittle,5
Ray J. Dawson,3
Ron W. Newsham,3
Holger Karl,3
S. J. Goldsack,4
Ian Alexander,3
Nico Plat,5
Hans Toetenel,4
Elizabeth L. White,6
Ellis Horowitz,3
Richard F. Paige,5
Inger V. Eriksson,4
Brendan Tangney,5
Stephen J. Andriole,6
Geert Deconinck,3
Vincenzo Ambriola,5
Lars Bendix,4
Todd Simpson,3
Ray Welland,6
J. Paul Myers Jr.,3
Germinal Boloix,4
James C. Hu,3
Sunil Vadera,4
Stephen G. MacDonell,9
Ashley D. Lloyd,3
Patrick A. V. Hall,8
José Muñoz-Pérez,3
A. Menchén,4
José-Luis Pérez-de-la-Cruz,3
Agustín Jiménez,3
Antonio González Muñoz,13
Raúl Pérez,5
Antonio Sala 0001,3
César Montes,3
Luciano Sánchez,4
Lidia Moreno,4
R. Sanz,3
Juan M. Corchado,3
Luis Magdalena,5
Manuel de Buenaga Rodríguez,3
José Cuena,6
Ana García-Serrano,4
César Hervás,5
Sebastián Ventura,4
Juan Antonio Ortega,3
Rafael M. Gasca,3
Oscar Cordón,11
María José del Jesús,4
Francisco Herrera,40
Manuel Lozano,10
Juan F. Huete,6
Pablo Noriega,4
Manuel Palomar,3
Mancia Anguita,3
Asunción Gómez-Pérez,4
Fernando Matía,3
José Salvador Sánchez 0001,4
Adoración de Miguel Castaño,4
Luis A. Castillo,4
Juan Fernández-Olivares,3
Gary E. Herman,5
Michael Payer,4
Silvia M. Müller,3
Peter-Michael Seidel,3
Prabhakar Kudva,4
Michael Gallant,4
Tanguy Risset,8
Jens Sparsø,3
Matthias Sauer 0001,3
Tom A. M. Kevenaar,3
S. M. Kang,6
D. J. Kinniment,4
Mohamed Abid,3
Kholdoun Torki,3
Atsushi Takahashi 0001,3
George Alexiou,4
Ferruccio Barsi,9
Asad A. Ismaeel,3
Daniel L. Boley,3
Al Davis,3
Dirk Timmermann,3
Helmut Hahn,3
Satnam Singh Dlay,5
J. Morris Chang,3
Saleh A. Alshebeili,5
C. Andre T. Salama,3
Josep Rius,3
Rosa Rodríguez-Montañés,3
Uwe Sparmann,5
Amiya Nayak,6
Michael Braun,3
Farhad Mavaddat,3
Kanad Chakraborty,5
Guillaume Luce,3
Tony M. Carter,3
Kent F. Smith,4
Sebastian T. J. Fenn,4
David Taylor,5
Mohammed Benaissa,5
Jørgen Staunstrup,4
Fèlix Saltor,7
Nick Kline,3
H. W. Buff,3
Nectaria Tryfona,6
P. Krishna Reddy,3
Subhash Bhalla,3
Lynn Wilcox,3
Kwok-bun Yue,3
Hock Chuan Chan,13
Kwok Kee Wei,18
Robert J. Glushko,5
Jeff Dozier,7
Waqar Hasan,3
Rafael Alonso,9
Angela Bonifati,3
Andrew U. Frank,15
Khaled K. Al-Taha,3
Akmal B. Chaudhri,4
Andrew Eisenberg,6
Patricia G. Selinger,3
Jian Wu,8
Arnon Rosenthal,10
Simon R. Monk,3
Mark Roantree,6
Jörgen Hansson,3
Hugh Darwen,3
C. J. Date,6
Shashi K. Gadia,6
Rodolfo F. Resende,3
Markus Tresch,4
Jyrki Nummenmaa,3
Laura Tarantino,6
David J. Abel,12
Kerry L. Taylor,5
Lynn L. Peterson,3
Uffe Kock Wiil,14
Mario A. Nascimento,4
Prabhu Ram,3
Margaret H. Dunham,6
Gomer Thomas,3
Ibrahim Cingil,3
Edward Chan,6
Yi Deng,13
Jian Zhang,3
Mark A. Roth,4
Wolfgang Käfer,3
Alistair C. Kilgour,4
John Murphy 0001,3
Joseph K. P. Kuan,3
Jessie B. Kennedy,5
Peter J. Barclay,5
Edgar H. Sibley,3
Michael G. Norman,4
Michael H. Böhlen,4
William Kent,3
Jin Jing,6
Ron Musick,4
D. Scott Mackay,3
Jacques Kouloumdjian,3
Rasikan David,3
Geert-Jan Houben,4
Babis Theodoulidis,3
Taosong He,3
Chialin Chang,4
Michael Novak,3
Michael F. Worboys,6
R. Maelbrancke,3
H. Olivie,3
Jon Christensen,3
Jane Wilhelms,7
André Barbé,5
Alex Pang,7
Lisa M. Sobierajski,3
Daniel Cohen,6
Jacques Weber,6
Yong Zhou 0001,3
Keren Yu,3
Frank Seibert,3
Georg Rainer Hofmann,5
Yoshimasa Tokuyama,3
Marc Levoy,4
Clifford A. Reiter,20
Tsuneo Ikedo,3
Lillian F. Schwartz,3
Christoph Hornung,8
Yachin Pnueli,3
Holly E. Rushmeier,9
Johann F. Böhme,10
Marc Soucy,5
Gunnar Johannsen,5
Shouqing Zhang,3
Hock Soon Seah,5
W. Kenneth Stewart,5
Jakob Gonczarowski,4
Greg Turk,3
Dominik Henrich,3
Jean-François Colonna,4
Kevin G. Suffern,3
Chen Zhou,4
Wei-Chung Hwang,3
Gregory Joy,3
Seah Hock Soon,4
Takashi Kanai,4
Steven J. Harrington,3
Andreas Schilling 0001,6
Shyh-Kuang Ueng,3
Maarten Van Emmerik,3
Alexei Sourin,3
Jean-Pierre Braquelaire,6
Jung-Ju Choi,3
Malte Zöckler,3
Detlev Stalling,3
Hans-Christian Hege,5
J. Mark Ware,7
Herke Jan Noordmans,4
Jan Gecsei,6
Paola Marzano,3
Kelly A. Lyons,4
Michael Bomans,3
Andreas Pommert,5
Martin Riemer,6
Francisco R. Feito,8
Rossana Morandi,5
Rainer Kolisch,4
Arno Joentgen,3
Lara Mikenina,4
Frederic T. Chong,4
John Kubiatowicz,3
Lee Garber,10
Jon Bosak,3
W. Neville Holmes,14
Dorothy Marsh,4
Theresa-Marie Rhyne,6
Bertrand Meyer 0001,30
George Lawton,14
Oliver Spatscheck,3
James Bach,10
Marla J. Baker,3
William P. Marnane,3
Shreekant S. Thakkar,6
Dwayne Phillips,3
Dolores R. Wallace,3
Fletcher J. Buckley,4
David P. LaPotin,3
Tarek Ben Ismail,4
Sixto Ortiz Jr.,10
Niv Ahituv,7
Richard M. Adler,3
Lee W. McKnight,3
Terry Bollinger,10
Kenneth R. Wood,3
Tristan Richardson,3
Frazer Bennett,3
Ware Myers,15
Ivar Jacobson,9
Martin L. Griss,6
Doris K. Lidtke,3
A. Joe Turner,4
Robert D. Steele,4
Janet Wilson,6
Marc Tremblay,9
Paul I. Rubinfeld,3
Bryan Black,3
Allen B. Tucker,9
Bruce H. Barnes,4
Michael L. Rhodes,5
Douglas D. Robertson,3
Scott Hamilton,12
Noah S. Prywes,3
Mark C. Paulk,7
Robert N. Britcher,4
Christine Mingins,3
Edward Yourdon,4
Irah H. Donner,18
Edward F. Weller,3
Erik Hagersten,3
Mark Baker,9
Rajkumar Buyya,8
Daniel C. Hyde,3
Robert Langridge,3
Michael Conrad,8
Elliot R. McVeigh,6
Michael A. Guttman,3
Larry Press,40
Yujiun P. Wang,3
Ralph Duncan,3
John Wilkes,9
James Isaak,5
John D. Musa,6
Jim Isaak,4
David Fox,4
Thomas Kaneshige,3
Judith Gal-Ezer,4
Vijay Gurbaxani,12
Raj Reddy,9
Y. V. Ramana Reddy,3
Vasudevan Jagannathan,4
James Bowen,7
Dennis Bahler,4
Philip Newcomb,3
John Edwards,9
Lui Sha,9
Mark R. Cutkosky,18
Robert S. Engelmore,4
Thomas R. Gruber,7
Mahdi Abdelguerfi,6
Kevin Shaw,7
Donald Krieger,3
Daniel Port,6
Maxine D. Brown,5
Dennis P. Hanson,3
Atsushi Hasegawa,3
Klaus Buchenrieder,3
Lawrence G. Roberts,3
Mats Brorsson,6
Carlo Pescio,4
Robert G. Fichman,3
Steen Rasmussen,3
Miyi Chung,3
Yves Schabes,11
Michal Roth,3
Robert Cooper,3
C. J. Paul,3
Elliot K. Fishman,8
Steven P. Vanderwiel,4
Erin English,8
Reinhold Weicker,4
Stephen Barlas,3
George Karabatis,3
Michael J. Lutz,8
Manfred Schlett,3
Richard Hayton,4
Kirk L. Kroeker,3
Hiralal Agrawal,3
Saul London,3
Steven P. Ketchpel,3
Steve McConnell,32
Steven R. Newcomb,5
James D. Palmer,4
N. Ann Fields,3
Maurice V. Wilkes,22
James E. Tomayko,13
Bjarne Stroustrup,3
Johannes Gehrke,5
Anthony Hall,3
Michael G. Hinchey,4
Ioana Rus,3
Christopher R. Johnson 0001,5
Yarden Livnat,4
Howard D. Wactlar,8
Johanna Rothman,3
Gary E. Christensen,4
Michael I. Miller,24
Ulf Grenander,10
Najmi T. Jarwala,3
Johnnie W. Baker,4
Stephen L. Scott,3
Kurt D. Bollacker,4
John Murray,4
Sergei Nirenburg,10
Peter J. Danielsen,3
David W. McIntyre,3
John R. Michener,3
Robert C. Seacord,3
Marcus Thiébaux,6
Spencer W. Ng,4
Kent L. Beck,3
William H. Mischo,3
Timothy W. Cole,3
Bernd Fröhlich 0001,4
Gary S. Robinson,16
Hoon heng Teh,3
Robert B. Grady,4
Neal Leavitt,6
Elliot J. Chikofsky,6
Brian Starr,3
Veljko M. Milutinovic,8
Saman P. Amarasinghe,5
Andrew M. Steane,3
Eleanor G. Rieffel,3
Mei-Chen Hsueh,3
Sanjay J. Patel,3
Arne Skou,3
M. W. Bright,3
Sharath Pankanti,5
Bran Selic,3
Richard Wiggins,4
Patrick McAndrew,3
W. J. Austin,5
Cécile Paris,9
Keith Vander Linden,6
Andries van Dam,9
Randall B. Smith,6
Bing Yu,4
Christopher J. Matheus,5
W. Richards Adrion,3
Ramin Mojdehbakhsh,4
Thorsten von Eicken,6
P. Jonathon Phillips,8
Sivakumar Ravada,4
H. John Caulfield,5
Magdi A. Mohamed,8
John J. Darragh,3
Joseph E. Urban,8
Volker Weber,5
Michael S. Lew,4
Sally A. McKee,3
Yuan Chen,3
James Schoening,4
Simon Gibbs,3
Gregory R. Ganger,5
Eduardo Sanchez,6
Jonathan L. Herlocker,3
Jeremy Roschelle,3
Daniel D. Suthers,3
Kevin Benner,3
Tayfun Tezduyar,5
Keith Diefendorff,6
Guido van Rossum,4
Hans van Staveren,4
Richard Marlon Stein,3
Chris Tong,3
Yulun Wang,3
Amante Mangaser,3
Nian-Shing Chen,5
M. Paramasivam,3
Donald J. Reifer,8
Timothy Lethbridge,5
Oscar Nierstrasz,9
Emdad H. Khan,3
Mansoor Al-A'Ali,3
John Noll,3
Bruce Christianson,6
Joseph A. Fisher,3
David V. James,3
Christoforos E. Kozyrakis,3
Neal Cardwell,4
R. Daniel Resler,4
K. Moidin Mohiuddin,4
Péter L. Venetianer,3
Norman L. Kerth,4
James Coplien,12
Yen-Ping Shan,3
Thomas E. Bihari,5
Prabha Gopinath,3
Orran Krieger,3
Ronald C. Unrau,3
Ralph H. Sprague Jr.,14
Jennifer-Ann M. Anderson,5
Brian R. Murphy,3
Shih-Wei Liao,4
Pierfrancesco Bellini,3
Jonathan R. Agre,3
P. C. P. Bhatt,5
Minhwa Chung,3
Andrew J. Hanson,5
Tamara Munzner,3
Murugappan Palaniappan,3
George W. Fitzmaurice,6
Luke Hohmann,4
Catherine C. Marshall,8
D. Richard Kuhn,6
Ruby B. Lee,6
Alex Peleg,3
Yow-Jian Lin,3
Thomas A. Longstaff,5
Clyde Chittister,3
Yacov Y. Haimes,10
Daniel E. Atkins,4
Tracy Mullen,3
Raven Wallace,3
Will Tracz,3
Karl Reed,4
Jack Grimes,3
Mike Potel,4
Priya Narasimhan,3
Wolf-Dietrich Weber,3
Kevin R. Fall,5
Mohamed Fayad,22
Marshall Cline,5
Eric H. Johnson,3
Tobun Dorbin Ng,3
John Cocke,4
Bruce L. Jacob,4
John Viega,3
Gianluigi Caldiera,4
Stephen C. Johnson,3
Chris Schmandt,7
Debby Hindus,3
Richard J. LeBlanc,6
Allen L. Ambler,10
Stefano Cagnoni,3
Giuseppe Coppini,3
Guido Valli,5
Robert P. Futrelle,3
Hans Dybkjær,4
Laila Dybkjær,5
Robert Oshana,3
Haris M. Stellakis,7
Dana H. Brooks,3
Scott M. Stevens,3
John Riganati,4
Eric A. Weiss,18
Alfred A. Rizzi,4
Louis L. Whitcomb,6
P. J. Narayanan,6
Michael A. Cusumano,6
Kunle Olukotun,5
Edmund M. A. Ronald,3
Nicole Yankelovich,5
Barbara O. Rothbaum,4
M. Srinivas,4
Gayla S. Domke,5
Renu C. Laskar,15
Lisa R. Markus,7
Hal A. Kierstead,16
B. J. Wilson,3
J. Patricio Díaz Varela,3
Bogdan Oporowski,12
Graham D. Williams,3
Claudia Malvenuto,3
Stanley M. Selkow,9
Timothy Y. Chow,3
Karen L. Collins,5
D. G. Rogers,7
James A. Sellers,4
Haluk Oral,4
J. Gómez,4
Stephen C. Milne,5
Serge Lawrencenko,9
Vladimir P. Korzhik,8
Iwao Sato,7
Jaeun Lee,14
Ronald L. Graham,28
Ru-Ying Liu,3
Alexander A. Ageev,6
Feng Ming Dong,11
Khee Meng Koh,11
John Mitchem,6
Charles Curtis Lindner,3
Ambat Vijayakumar,5
Niall Cairnie,3
Arie Bialostocki,7
P. Dierker,4
Carl G. Wagner,3
Luigi Grasselli,4
Kunwarjit S. Bagga,3
Marc J. Lipman,9
Raymond E. Pippert,7
Edward E. Allen,3
Yi-Ching Yao,3
Paola Biondi,3
Xin Liu,6
Alexandru Nica,3
Zhikang Lu,3
Eng Guan Tay,7
Josef Lauri,4
Zdenek Ryjácek,23
Akira Saito,21
Michael D. Plummer,14
Leif K. Jørgensen,6
Hunter S. Snevily,10
Takao Ueda,4
Zhibo Chen 0003,6
J. Sheehan,3
Guoli Ding,23
Ramesh S. Sankaranarayana,4
Nian-Zu Li,4
Earl Glen Whitehead Jr.,4
Svjetlan Feretic,3
Tibor Dudás,3
Sanming Zhou,8
Miguel A. Méndez,4
Horst Sachs,11
Josep Fàbrega,13
Peter Mihók,19
Jozef Bucko,3
Michel Las Vergnas,5
Kishore Sinha,4
Stephan Brandt,14
G. L. Chia,10
Yee-Hock Peng,3
Kee L. Teo,9
Erik R. Hauge,4
William Kocay,6
Steve Hurley,3
Horst Alzer,6
Jia-Yu Shao,3
Wan-Di Wei,5
Bill Sands,7
Miklós Biró,4
Jin Akiyama,6
Vasek Chvátal,10
Xuerong Yong,3
Rainer Bodendiek,3
G. Walther,3
Hortensia Galeana-Sánchez,27
Roberto Cignoli,7
Martin Kochol,10
Kequan Ding,4
Marko Lovrecic Sarazin,4
Dezsö Miklós,5
Alberto Márquez,3
Camino Balbuena,5
Alain Denise,3
Elefterie Olaru,5
H. Zhou,4
Henk Jan Veldman,24
Gábor Bacsó,4
Norbert Polat,22
H. L. Abbott,15
Zongduo Dai,3
Peter Brass,3
Mingchu Li,10
Hikoe Enomoto,22
Sandra R. Kingan,4
K. H. Chew,6
Paul A. Catlin,8
Atsuhiro Nakamoto,12
Kenneth P. Bogart,8
Montserrat Maureso,3
Saroja P. Kanchi,3
Dragic Bankovic,5
Curtis A. Barefoot,3
Mirko Hornák,13
Roman Soták,7
Jianji Su,3
Pranava K. Jha,8
Péter Komjáth,15
Nasser Saheb,3
Daniel P. Sanders,21
Jaromir Abrham,4
Anton Kotzig,3
Dragan M. Acketa,8
Alexandre V. Borovik,5
Luigia Berardi,3
Mark D. Halsey,3
Robert Gill,3
Gerhard Ringel,7
Yoshiyasu Ishigami,7
Xiang-Ying Su,6
Ciping Chen,5
Jean-Pierre Roudneff,4
Xiaoyun Lu,17
Michel Burlet,3
Falk Nicolai,8
Guizhen Liu,5
Baogang Xu,4
Herbert Taylor,6
Michal Tkác,11
Daniel Ullman,7
Catherine Huafei Yan,5
Norman J. Pullman,6
Roger Labahn,8
Liying Kang,4
Jinjiang Yuan,6
Steven J. Winters,5
Dietmar Cieslik,4
H. Pulapaka,3
Tomás Madaras,4
Kevin McDougal,3
Nora Hartsfield,6
W. F. Smyth,7
Anders Bjært Sørensen,3
Robert A. Sulanke,6
Malay K. Sen,5
Alberto Del Lungo,17
Konrad Piwakowski,5
Alexander Zvonkin,3
Weizhen Gu,7
Mieczyslaw Borowiecki,12
Mariusz Haluszczak,3
Miroslawa Skowronska,3
Nigel Ray,4
Günter Schaar,6
Douglas Bauer,16
Huib Trommel,4
Qiao Li,6
Hans Havlicek,3
Olivier Guibert,3
Chong-Keang Lim,3
V. Vijayalakshmi,3
David W. Barnette,11
Ferdinand Hergert,3
Ahmed Ainouche,8
Willem L. Fouché,6
Peter J. M. van Laarhoven,3
Marie-Pierre Delest,3
Sungpyo Hong,3
Boyu Li 0004,5
Harold Fredricksen,4
Bing Zhou,9
Bjarne Toft,8
Nadimpalli V. R. Mahadev,13
Uri N. Peled,19
Douglas D. Grant,4
Shreeram S. Abhyankar,10
Devadatta M. Kulkarni,3
Caterina De Simone,9
Daniel E. Loeb,7
David C. Fisher,14
Stefano Marcugini,4
Alfredo Milani,4
H. P. Yap,7
Abdelhafid Berrachedi,3
Richard E. Blahut,4
Nathaniel Dean,12
Jennifer S. Zito,6
Ewa Drgas-Burchardt,3
Hao Li 0002,22
Christina Zamfirescu,4
Yongjin Zhu,7
Alexander V. Ivashchenko,6
George R. T. Hendry,5
Qingde Kang,5
John G. Del Greco,5
Tom Madej,3
Michael O. Albertson,13
Yanxun Chang,8
Kari J. Nurmela,6
J. A. Dias da Silva,3
Amélia Fonseca,3
Zofia Majcher,4
Jerzy Michael,3
William Jockusch,5
Simon Plouffe,3
Werner Schwärzler,6
Frank Niedermeyer,3
Cun-Quan Zhang,22
Grzegorz Stachowiak,3
Yongbing Shi,3
Yunsun Nam,4
Haruko Okamura,4
Ruizhong Wei,8
Giorgio Faina,4
Alexander A. Sapozhenko,4
Marcus Greferath,7
Christiane Hespel,3
Gérard Jacob,5
Themistocles Politof,4
A. Satyanarayana,9
Manfred Stern,3
Jian Shen,14
Izak Broere,15
John Sheehan,4
Evelyne Flandrin,17
Sheshayya A. Choudum,11
K. Kayathri,3
Shinsei Tazawa,3
Oliver Pretzel,3
Dale Youngs,4
Y. P. Liu,3
Anthony J. Guttmann,3
John S. Caughman IV,4
E. Sampathkumar,7
Matthias Middendorf,5
Frank Pfeiffer,6
Thomas Vougiouklis,3
Jean-Luc Fouquet,18
Mariko Hagita,3
Zvonimir Janko,4
Yue Zhao,16
Yoshimi Egawa,19
Heather Gavlas,3
Michelle Schultz,8
Irith Ben-Arroyo Hartman,4
J. H. E. Cohn,5
Elbert A. Walker,8
Peter Rowlinson,5
Malika Hadjiat,3
Nejib Zaguia,6
Peter Horák,19
Zhenhong Liu,8
Virgil Domocos,8
Beifang Chen,10
Jason I. Brown,16
Branko Grünbaum,4
Ryoh Fuji-Hara,3
Robert C. Brigham,10
Frédéric Maffray,35
Myriam Preissmann,11
Liang Sun,3
Pierre Lalonde,3
Elke Wilkeit,3
Jinzhao Wu,4
Roy Maltby,3
Siemion Fajtlowicz,3
Clara S. Chan,3
Moo Young Sohn,4
Diego Klabjan,3
Héctor Hevia,5
Vsevolod F. Lev,9
Zong-Duo Dai,4
John P. Georges,4
David W. Mauro,3
Jamie Simpson,4
B. P. Tan,6
Giovanni Coray,4
Amel Harkat-Benhamdine,4
Ke Min Zhang,3
Zeng Min Song,4
Taro Tokuda,5
Wai-Fong Chuan,4
Yusheng Li,6
Thomas H. E. Ericson,4
Amir Daneshgar,5
Carl W. Lee,3
Andrzej Wloch,3
Iwona Wloch,3
Dana L. Grinstead,3
Herbert Hotje,4
Sébastien Ferenczi,4
Jean-Guy Penaud,5
Jean E. Dunbar,10
Yves Chiricota,3
Colin J. H. McDiarmid,6
Abdón Sánchez-Arroyo,3
Michael H. Albert,3
Pierre Leroux,9
Nikolai P. Dolbilin,4
David M. Bressoud,3
Ph. Solot,4
Ortrud R. Oellermann,11
Terry A. McKee,16
Pedro Mago,3
F. Aguiló,4
Adolfo Sánchez-Flores,4
Frederick C. Harris Jr.,3
Rudolf Lidl,3
Jenö Lehel,25
Peter J. Owens,6
Ron M. Adin,3
Chin-Mei Fu,3
André Montpetit,3
W. T. Tutte,5
Toru Hasunuma,7
F. Göbel,7
Doris Schattschneider,4
Tudor Zamfirescu,7
Maurits de Graaf,4
Joseph Zaks,7
Jan Brousek,3
Darla Kremer,3
Derek Jennings,4
Warren P. Johnson,4
Václav Linek,5
Yeong-Nan Yeh,12
E. C. Milner,7
Henry A. Kierstead,8
Denis Hanson,8
Hao Li,10
Gilles Lachaud,7
Peter Kim,3
Adriano M. Garsia,5
Mark Ramras,8
Denise Amar,12
Jack Edmonds,3
Adrian O. Waller,4
B. Devadas Acharya,4
David P. Day,4
Zoltán Király,3
Qingyan Du,3
Elisa Pergola,7
Haitze J. Broersma,22
Richard P. Lewis 0001,3
Alain Giorgetti,3
Gerd Fricke,11
Art M. Duval,3
Arne Dür,7
Marek Kubale,7
Johann Linhart,3
Katarína Cechlárová,4
Seiya Negami,12
Jutta Mitas,4
Mao Chao Lin,6
Xavier Gourdon,5
John Frederick Fink,3
Lael F. Kinch,3
Linda M. Lesniak,17
B. S. Panda,4
Ronald J. Gould,25
G. W. Peck,3
Aditya Shastri,5
Stephen J. Curran,4
Attila Kuba,7
Dennis E. White,5
Edita Sinajová,3
Jacques Désarménien,3
Igor Fabrici,5
Walter Wenzel,5
Daniel Villeneuve,4
Bruce M. Landman,7
Sze-Chin Shee,3
Hajo Broersma,16
Jianping Li,3
Yohei Yamasaki,5
Nancy Eaton,7
Gerd Blind,4
Roswitha Blind,4
Gary MacGillivray,17
Sergei Evdokimov 0001,5
S. Stueckle,4
Jerzy Wojciechowski,6
M. E. Adams,4
Wieslaw Dziobiak,6
Olivier Togni,3
Jean-Claude Fournier,3
G. F. Clements,4
Krishnaswami Alladi,3
Chong-Yun Chao,4
Peter E. John,4
Stevo Todorcevic,3
Julian West,7
