author,sum_art
Peter Auer,18
Manfred K. Warmuth,31
Edoardo Amaldi,6
Viggo Kann,15
Pierre McKenzie,15
Richard Beigel,43
Alexis Maciel,5
Manindra Agrawal,19
Harry Buhrman,31
Dieter van Melkebeek,8
Dima Grigoriev,26
Friedhelm Meyer auf der Heide,18
Roman Smolensky,10
Douglas R. Stinson,52
Pascal Koiran,23
Jehoshua Bruck,54
Lars Engebretsen,5
Alexander Barg,17
Piotr Berman,24
Bruce E. Litow,14
Hans Ulrich Simon,16
Sanjeev Khanna,17
Amihood Amir,30
William I. Gasarch,50
Mihir Bellare,34
Paul G. Spirakis,27
Pierluigi Crescenzi,27
Paolo Penna,4
Valentin E. Brimkov,6
Stefan S. Dantchev,3
Sándor P. Fekete,13
Winfried Hochstättler,19
Edmund Ihler,4
Amit Sahai,7
Salil P. Vadhan,10
Valentine Kabanets,3
Charles Rackoff,4
Stephen A. Cook,10
Carsten Lund,21
Mario Szegedy,17
Ashish V. Naik,9
Mitsunori Ogihara,30
Alan L. Selman,21
Klaus Reinhardt,7
Cynthia Dwork,21
David P. Williamson,21
Antoni Lozano,6
Maria Luisa Bonet,9
Jan Johannsen,8
Rainer Schuler,9
David Eppstein,90
Juergen Wirtgen,3
Klaus-Jörn Lange,7
Michael Schmitt 0001,14
Amnon Ta-Shma,10
Harald Hempel,18
Gerd Wechsung,14
Shiva Chaudhuri,13
Jaikumar Radhakrishnan,15
David Zuckerman,18
Philip M. Long,28
Richard Cleve,11
Sampath Kannan,24
Farid M. Ablayev,7
Martin Dietzfelbinger,13
Robert H. Sloan,14
György Turán,13
Pavol Duris,8
Georg Schnitger,14
Nicolò Cesa-Bianchi,15
Ran Raz,17
Ronald V. Book,16
Leonid A. Levin,11
Peter Bro Miltersen,13
Sven Skyum,6
Carsten Rössner,3
Cristopher Moore,12
Meera Sitharam,7
Noga Alon,133
Raphael Yuster,37
Alexander Shen,7
Nikolai K. Vereshchagin,9
Yosi Ben-Asher,22
Ilan Newman,18
Dorit Dor,8
Andris Ambainis,17
Dexter Kozen,16
Desh Ranjan,18
Frank Stephan 0001,27
Bruno Codenotti,11
Pavel Pudlák,32
Giovanni Resta,6
Andrei A. Muchnik,4
Alexei L. Semenov,4
Venkatesan Guruswami,10
Andrzej Lingas,31
Anna Gál,7
Steffen Reith,3
K. V. Subrahmanyam,6
N. V. Vinodchandran,6
Peter Jonsson,19
Paolo Liberatore,10
Shai Ben-David,21
Stefan Lucks,8
Eli Ben-Sasson,4
Carme Àlvarez,7
Raymond Greenlaw,11
Oliver Kullmann,5
Søren Riis,7
Katsushi Inoue,32
Scott E. Decatur,7
Dana Ron,24
Howard Straubing,13
Moni Naor,47
Irit Dinur,4
Shmuel Safra,14
Jan Krajícek,18
Pekka Orponen,11
Riccardo Silvestri,16
Yoav Freund,8
Joe Kilian,15
Eduardo D. Sontag,22
Somenath Biswas,5
William Hurwood,3
Rüdiger Reischuk,18
Tatsuie Tsukiji,3
Osamu Watanabe 0001,34
Jacques Stern,12
Jacobo Torán,13
Alan M. Frieze,77
Dominic Welsh,3
Andrew Chi-Chih Yao,18
Maciej Liskiewicz,7
Venkatesh Raman 0001,12
Hans-Jörg Burtschick,3
Francesco Bergadano,21
Stefano Varricchio,19
Maria Isabel Gonzalez Vasco,4
Faith E. Fich,9
Ryuhei Uehara,7
Kensei Tsuchida,4
Samir Datta,5
Wenceslas Fernandez de la Vega,20
Amir M. Ben-Amram,10
Zvi Galil,39
Martin Löbbing,5
Eric Lehman,3
Alex Samorodnitsky,4
Alan R. Woods,6
Helmut Veith,5
Gábor Tardos,12
Lance Fortnow,36
Jia Jiao,3
Stephen A. Bloch,5
Jonathan F. Buss,10
Shay Halperin,3
Mark Jerrum,24
Eric Vigoda,3
Alfredo De Santis,43
Giovanni Di Crescenzo,9
Giuseppe Persiano,19
Martin Kutrib,8
Frederic Green,10
Cristina Bazgan,4
Amos Beimel,11
Richard Chang,16
Herbert Fleischner,12
Lefteris M. Kirousis,16
Phokion G. Kolaitis,20
Stephen A. Fenner,9
Steven Homer,16
Ming Li 0001,56
Louxin Zhang,17
Jean-Pierre Seifert,5
Efim B. Kinber,18
Eyal Kushilevitz,39
Leonard J. Schulman,15
Edward A. Hirsch,6
Rolf Niedermeier,10
Jay Belanger,5
Jie Wang 0002,11
Giuseppe Ateniese,4
Carlo Blundo,29
Günter Hotz,6
Gero Vierke,3
Juhani Karhumäki,23
Ilya Dumer,8
Wolfgang Slany,7
Claudia Bertram-Kretzberg,6
Thomas Hofmeister,10
Nabil Kahale,11
Ronitt Rubinfeld,15
Ibrahim Cahit,5
Moses Charikar,4
David P. Dobkin,19
Dimitrios Gunopulos,4
Rosario Gennaro,13
Gudmund Skovbjerg Frandsen,8
Jeffrey Shallit,28
Umesh V. Vazirani,11
Sanjeev Mahajan,7
Aravind Srinivasan,21
Robert Beals,10
Ajay Nerurkar,3
Itsik Pe'er,4
Ron Shamir,30
Marcos A. Kiwi,9
Angus Macintyre,7
Yonatan Aumann,8
Michael O. Rabin,5
Miroslaw Kowaluk,6
Thomas Zeugmann,17
Vince Grolmusz,15
Dietrich Kuske,8
Miriam Di Ianni,8
Karen A. Forcht,17
Albert H. Huang,3
Kent A. Walstrom,7
James J. Cappel,5
David C. Yen,7
Clyde W. Holsapple,33
Wenhong Luo,6
Benjamin B. M. Shao,3
Winston T. Lin,4
Effy Oz,5
Roger McHaney,5
Antonio Corradi,14
Letizia Leonardi,12
Franco Zambonelli,16
Ernst-Erich Doberkat,10
Laura Giordano 0001,11
Alberto Martelli,10
Wolfgang Pree,9
Gustav Pomberger,14
Albert Schappert,3
Josef Grosch,3
Jinyun Xue,4
Michael I. Schwartzbach,18
Beverly A. Sanders,8
Tsong Yueh Chen,25
Chi Keen Low,3
Manfred Broy,28
Masahito Hirakawa,10
Tadao Ichikawa,21
Johannes Sametinger,6
Michael Goedicke,3
Martin Große-Rhode,12
Robert P. Cook,5
Hélène Waeselynck,3
Dietmar Pfahl,5
Vitaliano Milanese,7
Russ Miller,16
Quentin F. Stout,11
Donald E. Knuth,23
Marcus Brown 0001,3
David Cordes,5
Mark H. Lee,10
Jim Welsh,8
Yun Yang,6
Adele Goldberg,7
Gavin Lowe,11
Jan Tretmans,3
Rance Cleaveland,23
Gerald Lüttgen,4
Chung-Kwong Yuen,21
Ming-Dong Feng,11
Stefan Biffl,5
Ruth Breu,3
Ralph-Johan Back,21
Kaisa Sere,13
Pavol Návrat,11
Mária Bieliková,11
Christian Stary,7
Carsten K. Gomard,3
Neil D. Jones,13
Jürg Gutknecht,3
Dennis M. Volpano,18
Mansur H. Samadzadeh,8
Kai Koskimies,10
Peter Rechenberg,4
Donald D. Cowan,10
Roberto Ierusalimschy,9
Carlos José Pereira de Lucena,11
Terry M. Stepien,3
Norbert E. Fuchs,9
Klaus Pirklbauer,3
Joseph M. Morris,6
Ralf Salomon,5
Giorgio De Michelis,5
Pieter H. Hartel,20
Bernhard Steffen,26
Tiziana Margaria,10
Michael Franz,14
Anna Ciampolini,8
Evelina Lamma,25
Paola Mello,26
Gerard J. Holzmann,16
Heinz Dobler,4
Lem O. Ejiogu,4
Walter R. Bischofberger,6
Wolfram Schulte,4
Gérard Padiou,5
Niklaus Wirth,8
György E. Révész,4
Markku Sakkinen,6
Rajeev Alur,23
Doron A. Peled,18
Lothar Schmitz,4
David Gries,17
Jan Bredereke,4
Jiannong Cao,12
Paul McCartney,5
Judy M. Bishop,3
László Böszörményi,6
Martin P. Ward,10
Krishnan Pillaipakkamnatt,5
M. Elizabeth C. Hull,13
Clemens A. Szyperski,5
Jürgen Lampe,6
Roland Carl Backhouse,11
Rajiv Gupta 0001,26
Josef Templ,3
Diomidis Spinellis,17
Noureddine Boudriga,16
Ali Mili,26
Roland T. Mittermeir,9
John Yiannis Cotronis,3
Apostolos Nikolaos Refenes,6
Coenraad Bron,3
Hans J. W. Spoelder,5
Jorma Sajaniemi,5
Bruno Schäffer,3
Hanspeter Mössenböck,7
Colin J. Fidge,11
David A. Carrington,9
Dawn Wilkins,4
David J. Robson,3
Simon Moser,3
Rudolf K. Keller,5
Peter Thiemann,9
Atanas Radenski,4
Richard G. McDaniel,3
T. C. Nicholas Graham,3
Gerd Kock,5
Gerard Parr,5
Kevin Curran,7
Takayuki Dan Kimura,4
Siegfried Reich,9
Volker Braun,5
Wladyslaw M. Turski,8
Kenneth J. Goldman,7
Gerhard Goos,3
José M. Troya,13
Peter Schnorf,3
Heinz Unbehauen,19
Marisol Delgado,3
Bo Hu,6
Anthony N. Michel,16
Leon Cohen,8
Edward W. Kamen,5
Sen M. Kuo,10
James W. Pitton,6
Pablo A. Iglesias,8
Marc A. Peters,4
Luis F. Chaparro,14
Aydin Akan,4
Peter J. Gawthrop,9
Vladimir Lyandres,8
Serguei Primak,4
Jingcheng Wang,3
Gloria Faye Boudreaux-Bartels,14
Edwin Engin Yaz,4
Takao Hinamoto,4
E. Bruce Lee,8
Xiangyu Bao,3
Zongli Lin,11
José Rodellar,4
Manuel de la Sen,13
Josep Vehí,4
Peter F. Swaszek,10
Jorge L. Aravena,8
Ahmed S. Elwakil,7
Michael Peter Kennedy,13
William J. Williams,15
Fotis N. Koumboulis,8
Michael G. Skarpetis,3
Brian M. Sadler,10
Stephen D. Casey,6
Yimin Zhang 0001,3
Moeness G. Amin,28
Patrick J. Loughlin,15
Wassim M. Haddad,19
VijaySekhar Chellaboina,8
Dennis S. Bernstein,19
Syed Ismail Shah,4
Amro El-Jaroudi,15
Xinghuo Yu,18
Reinaldo M. Palhares,4
Pedro L. D. Peres,10
Nariman Sepehri,6
Shouling He,4
Gerald Matz,3
Franz Hlawatsch,21
Y. Yavin,5
Yakov Ben-Haim,3
Mingui Sun,6
Robert J. Sclabassi,13
Chin-Wang Tao,8
Tsu-Tian Lee,22
Mike Phillips,11
Stephen A. R. Scrivener,7
Hyacinth S. Nwana,17
Roy Rada,76
Colin Beardon,10
Michael Twidale,6
Paul Honeywill,6
