source,target
Laurie J. Kirsch,Michael D. Wybo
Marvin D. Troutt,Murali S. Shanker
Marvin D. Troutt,Aimao Zhang
Murali S. Shanker,Aimao Zhang
Marvin D. Troutt,Suresh K. Tadisina
Marvin D. Troutt,Arun Rai
Aimao Zhang,Suresh K. Tadisina
Aimao Zhang,Arun Rai
Suresh K. Tadisina,Arun Rai
Marvin D. Troutt,Shui-Hung Hou
Murali S. Shanker,Michael Y. Hu
Murali S. Shanker,Ming S. Hung
Murali S. Shanker,B. Eddy Patuwo
Michael Y. Hu,Ming S. Hung
Michael Y. Hu,B. Eddy Patuwo
Ming S. Hung,B. Eddy Patuwo
Murali S. Shanker,Rema Padman
Murali S. Shanker,W. David Kelton
Rema Padman,W. David Kelton
Herbert Moskowitz,Gerhard Sorger
Herbert Moskowitz,Suresh Chand
Gerhard Sorger,Suresh Chand
Herbert Moskowitz,Robert D. Plante
Herbert Moskowitz,Kemal Altinkemer
Herbert Moskowitz,Murat Köksalan
Kemal Altinkemer,Murat Köksalan
Herbert Moskowitz,Thomas L. Morin
J. Keith Ord,Susan H. Xu
J. Keith Ord,Jack C. Hayya
Susan H. Xu,Jack C. Hayya
Waiman Cheung,Vincent S. Lai
Loren Paul Rees,Terry R. Rakes
Ferenc Szidarovszky,Yang Kuang
Steffen Jørgensen,Engelbert J. Dockner
Steffen Jørgensen,Peter M. Kort
Vladimir Gaitsgory,Eitan Altman
Vladimir Gaitsgory,Peng Shi 0001
Eitan Altman,Peng Shi 0001
Eitan Altman,Alain Jean-Marie
Eitan Altman,Tamer Basar
Eitan Altman,Asad Khamisy
Eitan Altman,Uri Yechiali
Asad Khamisy,Uri Yechiali
Eitan Altman,Daniel Kofman
Daniel Kofman,Uri Yechiali
Eitan Altman,Ariel Orda
Eitan Altman,Nahum Shimkin
Eitan Altman,Ofer Zeitouni
Eitan Altman,Adam Shwartz
Eitan Altman,Moshe Sidi
Eitan Altman,Philippe Nain
Eitan Altman,Lodewijk C. M. Kallenberg
Arie Hordijk,Lodewijk C. M. Kallenberg
Eitan Altman,Omar Ait-Hellal
Tamer Basar,Omar Ait-Hellal
Eitan Altman,R. Srikant
R. Srikant,Tamer Basar
Alain Jean-Marie,Omar Ait-Hellal
Johan van Benthem,Jan van Eijck
Johan van Benthem,Dag Westerståhl
Johan van Benthem,Hans W. Guesgen
Johan van Benthem,Frank D. Anger
Johan van Benthem,Rita V. Rodríguez
Hans W. Guesgen,Frank D. Anger
Hans W. Guesgen,Rita V. Rodríguez
Frank D. Anger,Rita V. Rodríguez
Johan van Benthem,Jon Barwise
Maarten Marx,Patrick Blackburn
Maarten Marx,Carlos Areces
Patrick Blackburn,Carlos Areces
Maarten Marx,Mark Reynolds
Stefano Guerrini,Simone Martini 0001
Stefano Guerrini,Andrea Masini
Simone Martini 0001,Andrea Masini
Simone Martini 0001,Andrea Asperti
Simone Martini 0001,Pierpaolo Degano
Simone Martini 0001,Corrado Priami
Pierpaolo Degano,Corrado Priami
Simone Martini 0001,Franco Barbanera
Andrea Masini,Marco Danelutto
Andrea Masini,Andrea Maggiolo-Schettini
Marcelo Finger,Krysia Broda
Marcelo Finger,Alessandra Russo
Krysia Broda,Alessandra Russo
J. Michael Dunn,Robert K. Meyer
J. Michael Dunn,John V. Franco
Robert K. Meyer,H. Ono
Robert K. Meyer,Harvey Friedman
Robert K. Meyer,Martin W. Bunder
Graham Wrightson,Jo Coldwell
Ofer Arieli,Arnon Avron
Arnon Avron,Furio Honsell
Arnon Avron,Yoram Hirshfeld
Arnon Avron,Ian A. Mason
Arnon Avron,Robert Pollack
Furio Honsell,Robert Pollack
Ian A. Mason,Robert Pollack
Nissim Francez,Michael Kaminski
Nissim Francez,Rachel Ben-Eliyahu-Zohary
Michael Kaminski,Rachel Ben-Eliyahu-Zohary
Nissim Francez,Shuly Wintner
Nissim Francez,Rani Nelken
Nissim Francez,Sara Porat
Peter A. Flach,Iztok Savnik
Antonis C. Kakas,Rob Miller 0002
Antonis C. Kakas,Fabrizio Riguzzi
Antonis C. Kakas,Francesca Toni
Antonis C. Kakas,Robert A. Kowalski
Robert A. Kowalski,Francesca Toni
Antonis C. Kakas,Marc Denecker
Rob Miller 0002,Francesca Toni
Antony Galton,John Gooday
Mark Hepple,Stephen G. Pulman
Rajeev Goré,Carlos Areces
Rajeev Goré,Enrico Franconi
Rajeev Goré,Maarten de Rijke
Rajeev Goré,Bernd-Holger Schlingloff
Carlos Areces,Enrico Franconi
Carlos Areces,Maarten de Rijke
Carlos Areces,Bernd-Holger Schlingloff
Enrico Franconi,Maarten de Rijke
Enrico Franconi,Bernd-Holger Schlingloff
Maarten de Rijke,Bernd-Holger Schlingloff
Rajeev Goré,Krysia Broda
Rajeev Goré,Marcello D'Agostino
Rajeev Goré,Steve Reeves
Krysia Broda,Marcello D'Agostino
Krysia Broda,Steve Reeves
Marcello D'Agostino,Steve Reeves
Rajeev Goré,Alain Heuerding
Rajeev Goré,Stéphane Demri
Daniel J. Lehmann,Michael Freund
Daniel J. Lehmann,Sarit Kraus
Daniel J. Lehmann,Eithan Ephrati
Sarit Kraus,Eithan Ephrati
Daniel J. Lehmann,Zippora Arzi-Gonczarowski
Daniel J. Lehmann,Menachem Magidor
Sarit Kraus,Menachem Magidor
Timothy Williamson,Lloyd Humberstone
Timothy Williamson,Claudio Pizzi
Gheorghe Stefanescu,Dorel Lucanu
Gheorghe Stefanescu,Virgil Emil Cazanescu
Krister Segerberg,Brian F. Chellas
Nicolas Peltier,Ricardo Caferra
Ian Horrocks,Ulrike Sattler
Ian Horrocks,Stephan Tobies
Ulrike Sattler,Stephan Tobies
Ian Horrocks,Roberto Sebastiani
Peter F. Patel-Schneider,Roberto Sebastiani
Ulrike Sattler,Franz Baader
Ulrike Sattler,François Bergeron
Alain Heuerding,Gerhard Jäger
Robin Hirsch,Ian M. Hodkinson
Martin Wirsing,Michel Bidoit
Martin Wirsing,Rolf Hennicker
Michel Bidoit,Rolf Hennicker
Martin Wirsing,Piotr Kosiuczenko
Guy Perrier,Didier Galmiche
Guy Perrier,Philippe de Groote
Hans Jürgen Ohlbach,Jana Koehler
Hans Jürgen Ohlbach,Renate A. Schmidt
Hans Jürgen Ohlbach,Franz Baader
Hans Jürgen Ohlbach,Christoph Weidenbach
Heinz-Dieter Ebbinghaus,Dirk van Dalen
Glyn Morrill,Paul Bennett
Glyn Morrill,Norman M. Fraser
Paul Bennett,Norman M. Fraser
Décio Krause,Jean-Yves Béziau
Décio Krause,Steven French
Stefan Brüning,Torsten Schaub
Stefan Brüning,Peter Baumgartner 0001
Antonio Mario Sette,Daniele Mundici
Ildikó Sain,Viktor Gyuris
Ildikó Sain,Balázs Biró
Robert Goldblatt,Antonino Salibra
Fairouz Kamareddine,Alejandro Ríos
Fairouz Kamareddine,Rob Nederpelt
Fairouz Kamareddine,Roel Bloo
Rob Nederpelt,Roel Bloo
Nicola Olivetti,Daniele Mundici
Andreas Blass,Andre Scedrov
Andreas Blass,Paul Erdös
Andreas Blass,Alan D. Taylor
Paul Erdös,Alan D. Taylor
Dusko Pavlovic,Martin Hofmann 0001
Dusko Pavlovic,Giuseppe Rosolini
Martin Hofmann 0001,Giuseppe Rosolini
Patrick Blackburn,Miroslava Tzakova
Patrick Blackburn,Maarten de Rijke
Patrick Blackburn,Claire Gardent
Patrick Blackburn,Yde Venema
András Simon,Ian M. Hodkinson
Christian G. Fermüller,Alexander Leitsch
Marta Cialdea Mayer,Fiora Pirri
Marta Cialdea Mayer,Serenella Cerrito
Fiora Pirri,Luigi Palopoli
Fiora Pirri,Clara Pizzuti
Luigi Palopoli,Clara Pizzuti
Michael Kaminski,Chung Kei Wong
Ágnes Kurucz,A. E. Eiben
Marcelo F. Frias,Armando Martin Haeberer
Marcelo F. Frias,Paulo A. S. Veloso
Armando Martin Haeberer,Paulo A. S. Veloso
Alberto Zanardo,Mark Reynolds
Alberto Zanardo,José Carmo
Renwei Li,José Carmo
Renwei Li,Luís Moniz Pereira
Renwei Li,Amílcar Sernadas
Renwei Li,Wenhui Zhang
José Carmo,Amílcar Sernadas
José Carmo,Andrew J. I. Jones
José Carmo,Mark A. Brown
Michael Böttner,Patrick Suppes
Michael Thielscher,Steffen Hölldobler
Michael Thielscher,Torsten Schaub
Andrew M. Pitts,Gavin M. Bierman
Andrew M. Pitts,Roy L. Crole
Angelo Montanari,Iliano Cervesato
Angelo Montanari,Massimo Franceschet
Iliano Cervesato,Massimo Franceschet
Angelo Montanari,Maarten de Rijke
Adriano Peron,Angelo Monti
Adriano Peron,Andrea Maggiolo-Schettini
Alejandro Ríos,Pierre-Louis Curien
Alejandro Ríos,Thérèse Hardin
Pierre-Louis Curien,Thérèse Hardin
Chrysafis Hartonas,Matthew Hennessy
Jaap van der Does,Willem Groeneveld
Peter F. Patel-Schneider,Marie-Christine Rousset
Roberto Sebastiani,Alan Bundy
Roberto Sebastiani,Toby Walsh
Alan Bundy,Fausto Giunchiglia
Alan Bundy,Toby Walsh
Fausto Giunchiglia,Toby Walsh
Robert Demolombe,Andrew J. I. Jones
Robert Demolombe,Frédéric Cuppens
Lawrence S. Moss,Norman Danner
Lawrence S. Moss,David E. Johnson
Lawrence S. Moss,Janusz Czelakowski
Lawrence S. Moss,Joseph A. Goguen
Lawrence S. Moss,José Meseguer
Lawrence S. Moss,Satish R. Thatte
Lawrence S. Moss,Michael W. Mislove
Lawrence S. Moss,Frank J. Oles
Michael W. Mislove,Frank J. Oles
Lawrence S. Moss,Yiannis N. Moschovakis
Lawrence S. Moss,Rohit Parikh
Lawrence S. Moss,Jon Barwise
Norman Danner,Daniel Leivant
Norman Danner,Eric Hammer
Enrico Franconi,Alessandro Artale
Enrico Franconi,Nicola Guarino
Enrico Franconi,Luca Pazzi
Alessandro Artale,Nicola Guarino
Alessandro Artale,Luca Pazzi
Nicola Guarino,Luca Pazzi
Enrico Franconi,Bernhard Nebel
Enrico Franconi,Franz Baader
Enrico Franconi,Bernhard Hollunder
Enrico Franconi,Hans-Jürgen Profitlich
Bernhard Nebel,Bernhard Hollunder
Bernhard Nebel,Hans-Jürgen Profitlich
Bernhard Hollunder,Hans-Jürgen Profitlich
Maarten de Rijke,Natasha Kurtonina
Maarten de Rijke,Wiebe van der Hoek
Maarten de Rijke,Oliver Lemon
Maarten de Rijke,Yde Venema
Maarten de Rijke,Christof Monz
Bernd-Holger Schlingloff,Tomohiro Yoneda
Chris Brink,Ingrid Rewitzky
Chris Brink,Renate A. Schmidt
Chris Brink,Katarina Britz
Renate A. Schmidt,Katarina Britz
Ingrid Rewitzky,Renate A. Schmidt
Steve Reeves,Martin C. Henson
Steve Reeves,Richard Bornat
Steve Reeves,Tim O'Shea
Steve Reeves,Doug Goldson
Richard Bornat,Tim O'Shea
Richard Bornat,Doug Goldson
Tim O'Shea,Doug Goldson
Burghard von Karger,Rudolf Berghammer
Burghard von Karger,Henk Doornbos
Burghard von Karger,C. A. R. Hoare
Rudolf Berghammer,Birgit Elbl
Jeremy Pitt,Jim Cunningham
Jeremy Pitt,Matthew Anderton
Jim Cunningham,Matthew Anderton
Martin W. Bunder,J. Roger Hindley
Martin W. Bunder,Henk Barendregt
Martin W. Bunder,Wil Dekkers
Henk Barendregt,Wil Dekkers
Beata Konikowska,Andrzej Tarlecki
Beata Konikowska,Andrzej Blikle
Valentin B. Shehtman,Dmitrij P. Skvortsov
Ramon Jansana,Pilar Dellunde
Ramon Jansana,Janusz Czelakowski
Ramon Jansana,Enrique Casanovas
Pilar Dellunde,Enrique Casanovas
Colin Stirling,Hans Hüttel
Colin Stirling,Peter Thanisch
Colin Stirling,Julian C. Bradfield
Colin Stirling,Søren Christensen
Hans Hüttel,Søren Christensen
Christoph Weidenbach,Manfred Kerber
Christoph Weidenbach,Reinhold Letz
Natasha Alechina,Neil Immerman
Valeria de Paiva,Eike Ritter
Valeria de Paiva,Gavin M. Bierman
Valeria de Paiva,P. N. Benton
Gavin M. Bierman,P. N. Benton
Valeria de Paiva,Martin Hyland
Eike Ritter,David J. Pym
Eike Ritter,Lincoln A. Wallen
David J. Pym,Lincoln A. Wallen
Natasha Kurtonina,Diderik Batens
Elmar Langetepe,Rolf Klein
Elmar Langetepe,Christian Icking
Eduardo L. Fermé,Ricardo Oscar Rodríguez
Hans de Nivelle,Renate A. Schmidt
Neil Immerman,Kousha Etessami
Brandon Bennett,Nicholas Mark Gotts
Brandon Bennett,Anthony G. Cohn
Brandon Bennett,John Gooday
Nicholas Mark Gotts,Anthony G. Cohn
Nicholas Mark Gotts,John Gooday
Anthony G. Cohn,John Gooday
Alasdair Urquhart,Jan Wolenski
Alasdair Urquhart,Janusz Czelakowski
Alasdair Urquhart,Andrzej Sendlewski
Alasdair Urquhart,Marcin Mostowski
Jan Wolenski,Janusz Czelakowski
Jan Wolenski,Andrzej Sendlewski
Jan Wolenski,Marcin Mostowski
Janusz Czelakowski,Andrzej Sendlewski
Janusz Czelakowski,Marcin Mostowski
Andrzej Sendlewski,Marcin Mostowski
Roy Dyckhoff,Luís Pinto
Roy Dyckhoff,Sara Negri
Jon Barwise,Nino B. Cocchiarella
Wojciech Penczek,Stanislaw Ambroszkiewicz
Wojciech Penczek,Edward Ochmanski
Serenella Cerrito,Nicole Bidoit
Serenella Cerrito,Christine Froidevaux
Nicole Bidoit,Christine Froidevaux
Christoph Kreitz,Stephan Schmitt
Mario Ornaghi,Pierre Flener
Mario Ornaghi,Kung-Kiu Lau
Pierre Flener,Kung-Kiu Lau
N. Nandhakumar,Georgios B. Giannakis
Wei-Ge Chen,Georgios B. Giannakis
Prabir Bhattacharya,Kai Qian
Prabir Bhattacharya,Xun Lu
Kai Qian,Xun Lu
Prabir Bhattacharya,Francis Suraweera
Prabir Bhattacharya,Jane You
Prabir Bhattacharya,Douglas R. Heisterkamp
Prabir Bhattacharya,Dale M. Mesner
Amlan Kundu 0001,Yang He 0001
Amlan Kundu 0001,Wen-Rong Wu
Amlan Kundu 0001,Sargur N. Srihari
Amlan Kundu 0001,Mou-Yen Chen
Sargur N. Srihari,Mou-Yen Chen
Yang He 0001,Mou-Yen Chen
Eric Backer,Marcel J. T. Reinders
Eric Backer,Jan J. Gerbrands
Marcel J. T. Reinders,Jan J. Gerbrands
Sugata Ghosal,Rajiv Mehrotra
Sugata Ghosal,Petr Vanek
Rajiv Mehrotra,William I. Grosky
Rajiv Mehrotra,N. Ranganathan
Patrick Grother,Omid M. Omidvar
Patrick Grother,Michael D. Garris
Gerald T. Candela,Omid M. Omidvar
Gerald T. Candela,Michael D. Garris
James L. Blue,Omid M. Omidvar
James L. Blue,Michael D. Garris
Charles L. Wilson,Omid M. Omidvar
Charles L. Wilson,Michael D. Garris
Omid M. Omidvar,Michael D. Garris
Tuan D. Pham,Michael Wagner 0004
Michael Wagner 0004,Ron Henderson
Michael Wagner 0004,Doug Mahar
Michael Wagner 0004,William Laverty
Michael Wagner 0004,Renee Napier
Michael Wagner 0004,Michael Hiron
Ron Henderson,Doug Mahar
Ron Henderson,William Laverty
Ron Henderson,Renee Napier
Ron Henderson,Michael Hiron
Doug Mahar,William Laverty
Doug Mahar,Renee Napier
Doug Mahar,Michael Hiron
William Laverty,Renee Napier
William Laverty,Michael Hiron
Renee Napier,Michael Hiron
Michael Wagner 0004,Kate Barrelle
Ron Henderson,Kate Barrelle
Kate Barrelle,William Laverty
Kate Barrelle,Michael Hiron
Dinggang Shen,Horace Ho-Shing Ip
Dinggang Shen,Eam Khwang Teoh
Horace Ho-Shing Ip,Eam Khwang Teoh
Dinggang Shen,Christos Davatzikos
Dinggang Shen,Wai-Him Wong
Horace Ho-Shing Ip,Wai-Him Wong
Horace Ho-Shing Ip,Stephen Wang-Cheung Lam
Horace Ho-Shing Ip,E. R. Davies
Eam Khwang Teoh,Qing Song 0001
Dinesh P. Mital,Qing Song 0001
En-Hui Liang,Edward K. Wong
Edward K. Wong,Aaron Kershenbaum
Seong-Whan Lee,Hee-Seon Park
Seong-Whan Lee,Hee-Heon Song
Hee-Seon Park,Hee-Heon Song
Chein-I Chang,Mark L. G. Althouse
Chein-I Chang,Pau-Choo Chung
Chein-I Chang,Lee D. Davisson
Chein-I Chang,Laurence B. Wolfe
Yoshihiko Hamamoto,Shunji Uchimura
Yoshihiko Hamamoto,Shingo Tomita
Shunji Uchimura,Shingo Tomita
Yoshihiko Hamamoto,Taiho Kanaoka
Shunji Uchimura,Taiho Kanaoka
Charles L. Wilson,Mark A. Przybocki
Charles L. Wilson,Alvin F. Martin
Charles L. Wilson,P. Jonathon Phillips
Mark A. Przybocki,Alvin F. Martin
Mark A. Przybocki,P. Jonathon Phillips
Alvin F. Martin,P. Jonathon Phillips
Surendra Ranganath,Mehran Moshfeghi
Ping-Sing Tsai,Ruo Zhang
Mubarak Shah,Ruo Zhang
Ping-Sing Tsai,Krishnan Rangarajan
Mubarak Shah,Krishnan Rangarajan
Mubarak Shah,Donna J. Williams
Isabelle Bloch,Daniel Vidal-Madjar
Isabelle Bloch,Jaime López-Krahe
Mitra Basu,Lesa M. Kennedy
Gunter Ritter,Rudolf Kruse
Gunter Ritter,Jörg Gebhardt
José Crespo,Ronald W. Schafer
José Crespo,Fernand Meyer
José Crespo,Jean Serra
Fernand Meyer,Ronald W. Schafer
Fernand Meyer,Jean Serra
Ronald W. Schafer,Jean Serra
Alan C. Bovik,Boaz J. Super
Alan C. Bovik,Brian L. Evans
Alan C. Bovik,Dapang Chen
Alan C. Bovik,Joseph P. Havlicek
Alan C. Bovik,David S. Harding
Joseph P. Havlicek,David S. Harding
Alan C. Bovik,Niranjan Damera-Venkata
Alan C. Bovik,Thomas D. Kite
Alan C. Bovik,Wilson S. Geisler
Brian L. Evans,Niranjan Damera-Venkata
Brian L. Evans,Thomas D. Kite
Brian L. Evans,Wilson S. Geisler
Niranjan Damera-Venkata,Thomas D. Kite
Niranjan Damera-Venkata,Wilson S. Geisler
Thomas D. Kite,Wilson S. Geisler
Alan C. Bovik,Scott T. Acton
Alan C. Bovik,Dong Wei
Alan C. Bovik,Mita D. Desai
Mita D. Desai,Joseph P. Havlicek
Mita D. Desai,David S. Harding
Alan C. Bovik,Nikos D. Sidiropoulos
Alan C. Bovik,Constantinos S. Pattichis
Hiromitsu Yamada,Kazuhiko Yamamoto
Hiromitsu Yamada,Taiichi Saito
Kazuhiko Yamamoto,Taiichi Saito
Hiromitsu Yamada,Takahiko Horiuchi
Hiromitsu Yamada,Kazuo Toraichi
Hiromitsu Yamada,Marc Rioux
Kazuhiko Yamamoto,Takahiko Horiuchi
Kazuhiko Yamamoto,Kazuo Toraichi
Kazuhiko Yamamoto,Marc Rioux
Takahiko Horiuchi,Kazuo Toraichi
Takahiko Horiuchi,Marc Rioux
Kazuo Toraichi,Marc Rioux
Hiromitsu Yamada,Tadahiko Kumamoto
Kazuhiko Yamamoto,Tadahiko Kumamoto
Takahiko Horiuchi,Tadahiko Kumamoto
Kazuo Toraichi,Tadahiko Kumamoto
Kazuhiko Yamamoto,Naokazu Yokoya
Kazuhiko Yamamoto,Shigeru Muraki
Naokazu Yokoya,Shigeru Muraki
Pramod K. Varshney,Wael A. Hashlamoun
Pramod K. Varshney,Ramachandran Vaidyanathan
Pramod K. Varshney,Carlos R. P. Hartmann
Ramachandran Vaidyanathan,Carlos R. P. Hartmann
Pramod K. Varshney,James H. Michels
James H. Michels,Donald D. Weiner
Theo Gevers,Arnold W. M. Smeulders
Arnold W. M. Smeulders,Herke Jan Noordmans
Arnold W. M. Smeulders,Rein van den Boomgaard
Gunilla Borgefors,Ingela Nyström
Gunilla Borgefors,Gabriella Sanniti di Baja
Ingela Nyström,Gabriella Sanniti di Baja
Gunilla Borgefors,Steven L. Tanimoto
Gunilla Borgefors,Giuliana Ramella
Gabriella Sanniti di Baja,Giuliana Ramella
Santanu Chaudhury,Subhashis Banerjee
Santanu Chaudhury,Parthasarathy Guturu
Santanu Chaudhury,S. Subramanian
Parthasarathy Guturu,S. Subramanian
Santanu Chaudhury,Madan Gopal
Santanu Chaudhury,Laxmidhar Behera
Madan Gopal,Laxmidhar Behera
Santanu Chaudhury,Guturu Parthasarathy
S. Subramanian,Guturu Parthasarathy
Fritz Albregtsen,Torfinn Taxt
Bingcheng Li,Jun Shen 0004
Jun Shen 0004,Serge Castan
Longin Jan Latecki,Rolf Lakämper
Rolf Lakämper,Ulrich Eckhardt
Longin Jan Latecki,C. Min Ma
Shinn-Ying Ho,Hui-Ling Huang
Yingyong Qi,Bobby R. Hunt
Bobby R. Hunt,Michael W. Marcellin
Bobby R. Hunt,Ali Bilgin
Michael W. Marcellin,Ali Bilgin
Bobby R. Hunt,Glen P. Abousleman
Michael W. Marcellin,Glen P. Abousleman
Ge Cong,Songde Ma
Ian Barrodale,D. Skea
Ian Barrodale,R. Kuwahara
Ian Barrodale,R. Poeckert
D. Skea,R. Kuwahara
D. Skea,R. Poeckert
R. Kuwahara,R. Poeckert
Fabio Roli,Giorgio Giacinto
Fabio Roli,Gianni Vernazza
Fabio Roli,Sebastiano B. Serpico
Gianni Vernazza,Sebastiano B. Serpico
Fabio Roli,Lorenzo Bruzzone
Sebastiano B. Serpico,Lorenzo Bruzzone
Giorgio Giacinto,Lorenzo Bruzzone
Yuh-Lin Chang,Liviu Iftode
Yuh-Lin Chang,Rafael Alonso
Liviu Iftode,Rafael Alonso
Shuenn-Shyang Wang,Wen-Gou Lin
Rangachar Kasturi,Atul K. Chhabra
Rangachar Kasturi,Patrick J. Flynn
Rangachar Kasturi,Kevin W. Bowyer
Rangachar Kasturi,Octavia I. Camps
N. J. C. Strachan,Paul Nesvadba
N. J. C. Strachan,Alastair R. Allen
Paul Nesvadba,Alastair R. Allen
Michael Boshra,M. A. Ismail
Michael Boshra,Hong Zhang 0013
Michael Boshra,Bir Bhanu
M. A. Ismail,George Wolberg
Patrick Pérez,Fabrice Heitz
Patrick Pérez,Étienne Mémin
Duc Truong Pham,Eduardo Bayro-Corrochano
Duc Truong Pham,Dervis Karaboga
Duc Truong Pham,X. Liu
Alexander I. Bykov,Leonid G. Zerkalov
Srinivas Bollapragada,Thomas E. Morton
Srinivas Bollapragada,Srinagesh Gavirneni
Thomas E. Morton,Srinagesh Gavirneni
Srinivas Bollapragada,Ram Akella
Srinivas Bollapragada,Ramesh Srinivasan
Ram Akella,Ramesh Srinivasan
Dit-Yan Yeung,Xiaolin Li 0006
Dit-Yan Yeung,Kam-Fai Chan
Dit-Yan Yeung,Kwok-Wai Cheung
Dit-Yan Yeung,Roland T. Chin
Kwok-Wai Cheung,Roland T. Chin
Dit-Yan Yeung,James Tin-Yau Kwok
Peter E. Undrill,Kostas Delibasis
Peter E. Undrill,George G. Cameron
Kostas Delibasis,George G. Cameron
Peter E. Undrill,Konstantinos K. Delibasis
George G. Cameron,Konstantinos K. Delibasis
Kostas Delibasis,Nicolaos A. Mouravliansky
Frank Y. Shih,Christopher C. Pu
Frank Y. Shih,Soo-Chang Pei
Frank Y. Shih,Chin-Lun Lai
Soo-Chang Pei,Chin-Lun Lai
Frank Y. Shih,Wai-Tak Wong
Frank Y. Shih,Eduardo Morales
Frank Y. Shih,Hong Wu
Sinan Batman,Francis Sand
Edward R. Dougherty,Francis Sand
Edward R. Dougherty,John C. Handley
Edward R. Dougherty,Junior Barrera
Edward R. Dougherty,Artyom M. Grigoryan
Edward R. Dougherty,Robert P. Loce
Edward R. Dougherty,Jaakko Astola
Edward R. Dougherty,Henk J. A. M. Heijmans
Edward R. Dougherty,Roberto Hirata Jr.
Junior Barrera,Roberto Hirata Jr.
Edward R. Dougherty,Jean Serra
Shokri Z. Selim,Khaled S. Al-Sultan
Jenn-Yih Lin,Ja-Chen Lin
Pong Chi Yuen,Chong Sze Tong
Pong Chi Yuen,Kai Kwong Lam
Pong Chi Yuen,Peter Wai-Ming Tsang
Kai Kwong Lam,Peter Wai-Ming Tsang
Pong Chi Yuen,Peter W. M. Tsang
Kai Kwong Lam,Peter W. M. Tsang
Pong Chi Yuen,Chun Hung Li
Chong Sze Tong,Peter Che Bor Lam
Chong Sze Tong,Wai Chee Shiu
K. Chidananda Gowda,T. V. Ravi
K. Chidananda Gowda,Edwin Diday
K. Chidananda Gowda,P. Nagabhushan
Edwin Diday,P. Nagabhushan
Jinwoo Kim,Kozo Okazaki
Jinwoo Kim,Shinichi Tamura
Kozo Okazaki,Yoshinobu Sato
Kozo Okazaki,Yoshikazu Nakajima
Kozo Okazaki,Hiroki Nogawa
Shinichi Tamura,Yoshikazu Nakajima
Yoshinobu Sato,Yoshikazu Nakajima
Yoshikazu Nakajima,Hiroki Nogawa
Kozo Okazaki,Yutaka Fukui
Shinichi Tamura,Yutaka Fukui
Hiroshi Mitsumoto,Yutaka Fukui
Shinichi Tamura,Robert Close
Shinichi Tamura,Hiroaki Naito
Robert Close,Hiroaki Naito
Robert Close,Yoshinobu Sato
Shinichi Tamura,Masayuki Hanayama
Hiroaki Naito,Yoshinobu Sato
Hiroaki Naito,Masayuki Hanayama
Yoshinobu Sato,Masayuki Hanayama
Shinichi Tamura,Li Tang
Shinichi Tamura,Takahiro Kozuka
Hiroaki Naito,Li Tang
Hiroaki Naito,Takahiro Kozuka
Yoshinobu Sato,Li Tang
Yoshinobu Sato,Takahiro Kozuka
Li Tang,Takahiro Kozuka
Shinichi Tamura,Jian Chen
Yoshinobu Sato,Jian Chen
Jian-Tong Wu,Robert Close
Jian-Tong Wu,Yoshinobu Sato
Hideo Kawai,Robert Close
Hideo Kawai,Yoshinobu Sato
Hiroaki Naito,Reza Aghaeizadeh Zoroofi
Li Tang,Reza Aghaeizadeh Zoroofi
Shinichi Tamura,Shin Nakajima 0002
Shinichi Tamura,Ron Kikinis
Shinichi Tamura,Abhir Bhalerao
Yoshinobu Sato,Shin Nakajima 0002
Yoshinobu Sato,Ron Kikinis
Yoshinobu Sato,Abhir Bhalerao
Shin Nakajima 0002,Abhir Bhalerao
Ron Kikinis,Abhir Bhalerao
Shinichi Tamura,Chikazumi Kuroda
Shinichi Tamura,Junpei Ikezoe
Chikazumi Kuroda,Junpei Ikezoe
Torfinn Taxt,Morten Dæhlen
Torfinn Taxt,Arvid Lundervold
Torfinn Taxt,Line Eikvil
Soo-Chang Pei,Ji-Hwei Horng
Soo-Chang Pei,Chao-Nan Lin
Soo-Chang Pei,Lin-Gwo Liou
Soo-Chang Pei,Ching-Min Cheng
Soo-Chang Pei,Fei-Chin Chen
Soo-Chang Pei,Jong-Jy Shyu
Soo-Chang Pei,Sy-Been Jaw
Shiu Yin Yuen,Dennis N. K. Leung
Shiu Yin Yuen,Wilson C. Y. Lam
Shiu Yin Yuen,Lam T. S. Lam
Dennis N. K. Leung,Lam T. S. Lam
Wilson C. Y. Lam,Lam T. S. Lam
Barnabás Takács,Harry Wechsler
Harry Wechsler,George R. Thoma
Harry Wechsler,P. Jonathon Phillips
Srinivas Gutta,Jeffrey Huang
Srinivas Gutta,P. Jonathon Phillips
Jeffrey Huang,P. Jonathon Phillips
Harry Wechsler,Abraham Schultz
Harry Wechsler,Behrooz Kamgar-Parsi
Harry Wechsler,Behzad Kamgar-Parsi
Behrooz Kamgar-Parsi,Behzad Kamgar-Parsi
Chiou Peng Lam,Terry M. Caelli
Geoff A. W. West,Terry M. Caelli
Geoff A. W. West,Mark Gahegan
Christos Alexopoulos,Richard F. Serfozo
Christos Alexopoulos,George S. Fishman
B. John Oommen,Radhakrishna S. Valiveti
B. John Oommen,J. Ian Munro
B. John Oommen,E. R. Hansen
J. Ian Munro,E. R. Hansen
B. John Oommen,David T. H. Ng
B. John Oommen,Necati Aras
B. John Oommen,I. Kuban Altinel
Necati Aras,I. Kuban Altinel
B. John Oommen,William Lee
E. R. Hansen,David T. H. Ng
B. John Oommen,Hassan Masum
