source,target
Stasys Jukna,Alexander A. Razborov
Stasys Jukna,Stanislav Zák
Stasys Jukna,Ingo Wegener
Stasys Jukna,Petr Savický
Alexander A. Razborov,Ingo Wegener
Alexander A. Razborov,Petr Savický
Ingo Wegener,Petr Savický
Stasys Jukna,Johan Håstad
Stasys Jukna,Pavel Pudlák
Johan Håstad,Pavel Pudlák
Jirí Sgall,Pavel Pudlák
Jirí Sgall,Russell Impagliazzo
Russell Impagliazzo,Pavel Pudlák
Jirí Sgall,Shang-Hua Teng
Jirí Sgall,Anja Feldmann
Jirí Sgall,Ming-Yang Kao
Shang-Hua Teng,Anja Feldmann
Shang-Hua Teng,Ming-Yang Kao
Anja Feldmann,Ming-Yang Kao
Jirí Sgall,Vojtech Rödl
Pavel Pudlák,Vojtech Rödl
Jirí Sgall,Omer Berkman
Jirí Sgall,Michal Parnas
Omer Berkman,Michal Parnas
Jirí Sgall,Marek Chrobak
Jirí Sgall,Petr Savický
Jirí Sgall,Alexander A. Razborov
Jirí Sgall,Jan Krajícek
Jirí Sgall,Samuel R. Buss
Alexander A. Razborov,Russell Impagliazzo
Alexander A. Razborov,Pavel Pudlák
Alexander A. Razborov,Jan Krajícek
Alexander A. Razborov,Samuel R. Buss
Russell Impagliazzo,Jan Krajícek
Russell Impagliazzo,Samuel R. Buss
Pavel Pudlák,Jan Krajícek
Pavel Pudlák,Samuel R. Buss
Jan Krajícek,Samuel R. Buss
Jirí Sgall,Leah Epstein
Jirí Sgall,Gerhard J. Woeginger
Jirí Sgall,Steven S. Seiden
Gerhard J. Woeginger,Steven S. Seiden
Jirí Sgall,Leen Stougie
Jirí Sgall,Alberto Marchetti-Spaccamela
Jirí Sgall,Yair Bartal
Jirí Sgall,Stefano Leonardi
Leen Stougie,Alberto Marchetti-Spaccamela
Leen Stougie,Yair Bartal
Leen Stougie,Stefano Leonardi
Alberto Marchetti-Spaccamela,Yair Bartal
Alberto Marchetti-Spaccamela,Stefano Leonardi
Yair Bartal,Stefano Leonardi
Jirí Sgall,Dan Boneh
Jirí Sgall,Richard J. Lipton
Dan Boneh,Richard J. Lipton
Gianpiero Cabodi,Paolo Camurati
Stefano Quer,Paolo Camurati
Gianpiero Cabodi,Matteo Sonza Reorda
Gianpiero Cabodi,Silvano Gai
Matteo Sonza Reorda,Silvano Gai
Gianpiero Cabodi,Fulvio Corno
Gianpiero Cabodi,Paolo Prinetto
Matteo Sonza Reorda,Fulvio Corno
Matteo Sonza Reorda,Paolo Prinetto
Matteo Sonza Reorda,Paolo Camurati
Fulvio Corno,Paolo Prinetto
Fulvio Corno,Paolo Camurati
Paolo Prinetto,Paolo Camurati
Gianpiero Cabodi,Robert K. Brayton
Gianpiero Cabodi,Luciano Lavagno
Gianpiero Cabodi,Ellen Sentovich
Stefano Quer,Robert K. Brayton
Stefano Quer,Luciano Lavagno
Stefano Quer,Ellen Sentovich
Robert K. Brayton,Luciano Lavagno
Robert K. Brayton,Paolo Camurati
Robert K. Brayton,Ellen Sentovich
Luciano Lavagno,Paolo Camurati
Luciano Lavagno,Ellen Sentovich
Paolo Camurati,Ellen Sentovich
Stefano Quer,Enrico Macii
Stefano Quer,Giovanni De Micheli
Stefano Quer,Luca Benini
Stefano Quer,Massimo Poncino
Enrico Macii,Giovanni De Micheli
Enrico Macii,Luca Benini
Giovanni De Micheli,Luca Benini
Giovanni De Micheli,Massimo Poncino
Luca Benini,Massimo Poncino
Rustam Mubarakzjanov,Marek Karpinski
R. J. Gardner,Peter Gritzmann
R. J. Gardner,Dieter Prangenberg
R. J. Gardner,Michael Kallay
Peter Gritzmann,Thomas Burger
Peter Gritzmann,Bernd Sturmfels
Peter Gritzmann,Victor Klee
Peter Gritzmann,David G. Larman
Victor Klee,David G. Larman
Thomas Burger,Victor Klee
Peter Gritzmann,Andreas Brieden
Peter Gritzmann,Martin E. Dyer
Peter Gritzmann,Laurent Habsieger
Victor Klee,Laurent Habsieger
Victor Klee,Andreas Brieden
Peter Gritzmann,Hans L. Bodlaender
Peter Gritzmann,Jan van Leeuwen
Victor Klee,Hans L. Bodlaender
Victor Klee,Jan van Leeuwen
Hans L. Bodlaender,Jan van Leeuwen
Peter Gritzmann,David W. Barnette
Ekkehard W. Sachs,Friedemann Leibfritz
Ekkehard W. Sachs,El-Sayed M. E. Mostafa
Ekkehard W. Sachs,C. T. Kelley
Ekkehard W. Sachs,Rainer Hettich
Ekkehard W. Sachs,Carl T. Kelley
Ekkehard W. Sachs,Belinda B. King
Kasyap Natarajan,Jens Hofmann
Kasyap Natarajan,Norbert Th. Müller
Jens Hofmann,Norbert Th. Müller
Elena Dubrova,Jon C. Muzio
Artur Czumaj,Miroslaw Kutylowski
Artur Czumaj,Krzysztof Lorys
Miroslaw Kutylowski,Krzysztof Lorys
Artur Czumaj,Wojciech Rytter
Artur Czumaj,Leszek Gasieniec
Artur Czumaj,Marek Piotrów
Wojciech Rytter,Leszek Gasieniec
Wojciech Rytter,Marek Piotrów
Leszek Gasieniec,Marek Piotrów
Artur Czumaj,Friedhelm Meyer auf der Heide
Artur Czumaj,Volker Stemann
Friedhelm Meyer auf der Heide,Volker Stemann
Artur Czumaj,Krzysztof Diks
Artur Czumaj,Teresa M. Przytycka
Krzysztof Diks,Teresa M. Przytycka
Artur Czumaj,Maxime Crochemore
Artur Czumaj,Wojciech Plandowski
Artur Czumaj,Thierry Lecroq
Wojciech Rytter,Maxime Crochemore
Wojciech Rytter,Wojciech Plandowski
Wojciech Rytter,Thierry Lecroq
Maxime Crochemore,Wojciech Plandowski
Maxime Crochemore,Leszek Gasieniec
Maxime Crochemore,Thierry Lecroq
Wojciech Plandowski,Leszek Gasieniec
Wojciech Plandowski,Thierry Lecroq
Leszek Gasieniec,Thierry Lecroq
Artur Czumaj,Dany Breslauer
Artur Czumaj,Devdatt P. Dubhashi
Friedhelm Meyer auf der Heide,Dany Breslauer
Friedhelm Meyer auf der Heide,Devdatt P. Dubhashi
Dany Breslauer,Devdatt P. Dubhashi
Artur Czumaj,Alan Gibbons
Artur Czumaj,Miroslaw Kowaluk
Artur Czumaj,Bogdan S. Chlebus
Miroslaw Kowaluk,Wojciech Plandowski
Miroslaw Kowaluk,Leszek Gasieniec
Miroslaw Kowaluk,Bogdan S. Chlebus
Wojciech Plandowski,Bogdan S. Chlebus
Leszek Gasieniec,Bogdan S. Chlebus
Artur Czumaj,Stefan Jarominek
Wojciech Rytter,Stefan Jarominek
Maxime Crochemore,Stefan Jarominek
Wojciech Plandowski,Stefan Jarominek
Leszek Gasieniec,Stefan Jarominek
Thierry Lecroq,Stefan Jarominek
Artur Czumaj,Andrzej Pelc
Andrzej Pelc,Leszek Gasieniec
Artur Czumaj,Christian Scheideler
Miroslaw Kutylowski,Martin Dietzfelbinger
Miroslaw Kutylowski,Rüdiger Reischuk
Martin Dietzfelbinger,Rüdiger Reischuk
Miroslaw Kutylowski,Brigitte Oesterdiekhoff
Miroslaw Kutylowski,Rolf Wanka
Krzysztof Lorys,Brigitte Oesterdiekhoff
Krzysztof Lorys,Rolf Wanka
Brigitte Oesterdiekhoff,Rolf Wanka
Miroslaw Kutylowski,Russell Impagliazzo
Miroslaw Kutylowski,Faith E. Fich
Miroslaw Kutylowski,Valerie King
Miroslaw Kutylowski,Bruce M. Kapron
Russell Impagliazzo,Faith E. Fich
Russell Impagliazzo,Valerie King
